,Real Kd value,Predicted Kd value,Absolute error,Relative error,Relative error,Mean absolute error,Mean relative error
0,0,0,0,#¡DIV/0!,0,0.006170463,1.380708984
1,0,0,0,#¡DIV/0!,0,,
2,0,0,0,#¡DIV/0!,0,,
3,0,0,0,#¡DIV/0!,0,,
4,0,0,0,#¡DIV/0!,0,,
5,0,0,0,#¡DIV/0!,0,,
6,0,0,0,#¡DIV/0!,0,,
7,0.970000012,0.97,1.23E-08,1.26E-06,1.26E-06,,
8,0.970000059,0.97,5.93E-08,6.11E-06,6.11E-06,,
9,0.867111085,0.83,0.037111085,4.279853562,4.279853562,,
10,0.435433974,0.41,0.025433974,5.841063225,5.841063225,,
11,0.317041943,0.3,0.017041943,5.375296103,5.375296103,,
12,0.280520017,0.25,0.030520017,10.87980013,10.87980013,,
13,0.212321629,0.19,0.022321629,10.51312065,10.51312065,,
14,0.303338152,0.3,0.003338152,1.100472335,1.100472335,,
15,0.499435531,0.48,0.019435531,3.891499512,3.891499512,,
16,0.476589175,0.45,0.026589175,5.579055614,5.579055614,,
17,0,0,0,#¡DIV/0!,0,,
18,0,0,0,#¡DIV/0!,0,,
19,0,0,0,#¡DIV/0!,0,,
20,0,0,0,#¡DIV/0!,0,,
21,0,0,0,#¡DIV/0!,0,,
22,0,0,0,#¡DIV/0!,0,,
23,0,0,0,#¡DIV/0!,0,,
24,0,0,0,#¡DIV/0!,0,,
25,0,0,0,#¡DIV/0!,0,,
26,0,0,0,#¡DIV/0!,0,,
27,0,0,0,#¡DIV/0!,0,,
28,0,0,0,#¡DIV/0!,0,,
29,0,0,0,#¡DIV/0!,0,,
30,0,0,0,#¡DIV/0!,0,,
31,0.970000041,0.97,4.11E-08,4.24E-06,4.24E-06,,
32,0.970000032,0.97,3.21E-08,3.30E-06,3.30E-06,,
33,0.858261023,0.83,0.028261023,3.292823821,3.292823821,,
34,0.587063725,0.56,0.027063725,4.610014829,4.610014829,,
35,0.384909763,0.37,0.014909763,3.873573501,3.873573501,,
36,0.575862819,0.59,0.014137181,2.454956318,2.454956318,,
37,0.843150028,0.85,0.006849972,0.812426203,0.812426203,,
38,0.950744766,0.95,0.000744766,0.078335006,0.078335006,,
39,0.945719153,0.94,0.005719153,0.604741185,0.604741185,,
40,0.792704584,0.77,0.022704584,2.864192389,2.864192389,,
41,0,0,0,#¡DIV/0!,0,,
42,0,0,0,#¡DIV/0!,0,,
43,0,0,0,#¡DIV/0!,0,,
44,0,0,0,#¡DIV/0!,0,,
45,0,0,0,#¡DIV/0!,0,,
46,0,0,0,#¡DIV/0!,0,,
47,0,0,0,#¡DIV/0!,0,,
48,0,0,0,#¡DIV/0!,0,,
49,0,0,0,#¡DIV/0!,0,,
50,0,0,0,#¡DIV/0!,0,,
51,0,0,0,#¡DIV/0!,0,,
52,0,0,0,#¡DIV/0!,0,,
53,0,0,0,#¡DIV/0!,0,,
54,0,0,0,#¡DIV/0!,0,,
55,0.970000067,0.97,6.74E-08,6.95E-06,6.95E-06,,
56,0.910056188,0.86,0.050056188,5.500340386,5.500340386,,
57,0.886152391,0.86,0.026152391,2.951229539,2.951229539,,
58,0.817546214,0.82,0.002453786,0.300140307,0.300140307,,
59,0.610440888,0.61,0.000440888,0.072224593,0.072224593,,
60,0.743569211,0.75,0.006430789,0.864854136,0.864854136,,
61,0.955212246,0.95,0.005212246,0.545663683,0.545663683,,
62,0.958318971,0.96,0.001681029,0.175414374,0.175414374,,
63,0.867448463,0.83,0.037448463,4.317082218,4.317082218,,
64,0.744881554,0.77,0.025118446,3.372139606,3.372139606,,
65,0,0,0,#¡DIV/0!,0,,
66,0,0,0,#¡DIV/0!,0,,
67,0,0,0,#¡DIV/0!,0,,
68,0,0,0,#¡DIV/0!,0,,
69,0,0,0,#¡DIV/0!,0,,
70,0,0,0,#¡DIV/0!,0,,
71,0,0,0,#¡DIV/0!,0,,
72,0,0,0,#¡DIV/0!,0,,
73,0,0,0,#¡DIV/0!,0,,
74,0,0,0,#¡DIV/0!,0,,
75,0,0,0,#¡DIV/0!,0,,
76,0,0,0,#¡DIV/0!,0,,
77,0,0,0,#¡DIV/0!,0,,
78,0,0,0,#¡DIV/0!,0,,
79,0.956510257,0.95,0.006510257,0.680625999,0.680625999,,
80,0.53838938,0.53,0.00838938,1.558236518,1.558236518,,
81,0.337038961,0.35,0.012961039,3.845561033,3.845561033,,
82,0.218461769,0.22,0.001538231,0.704119112,0.704119112,,
83,0.169049269,0.18,0.010950731,6.477833908,6.477833908,,
84,0.280469549,0.28,0.000469549,0.1674152,0.1674152,,
85,0.307424433,0.31,0.002575567,0.837788766,0.837788766,,
86,0.344223162,0.34,0.004223162,1.226867585,1.226867585,,
87,0.400153414,0.39,0.010153414,2.537380404,2.537380404,,
88,0.445870592,0.44,0.005870592,1.316658291,1.316658291,,
89,0,0,0,#¡DIV/0!,0,,
90,0,0,0,#¡DIV/0!,0,,
91,0,0,0,#¡DIV/0!,0,,
92,0,0,0,#¡DIV/0!,0,,
93,0,0,0,#¡DIV/0!,0,,
94,0,0,0,#¡DIV/0!,0,,
95,0,0,0,#¡DIV/0!,0,,
96,0,0,0,#¡DIV/0!,0,,
97,0,0,0,#¡DIV/0!,0,,
98,0,0,0,#¡DIV/0!,0,,
99,0,0,0,#¡DIV/0!,0,,
100,0,0,0,#¡DIV/0!,0,,
101,0,0,0,#¡DIV/0!,0,,
102,0,0,0,#¡DIV/0!,0,,
103,0.969999993,0.97,6.60E-09,6.80E-07,6.80E-07,,
104,0.970000024,0.97,2.43E-08,2.51E-06,2.51E-06,,
105,0.970000025,0.97,2.49E-08,2.57E-06,2.57E-06,,
106,0.97,0.97,9.99E-16,1.03E-13,1.03E-13,,
107,0.970000053,0.97,5.25E-08,5.42E-06,5.42E-06,,
108,0.970000009,0.97,8.62E-09,8.88E-07,8.88E-07,,
109,0.970000071,0.97,7.05E-08,7.27E-06,7.27E-06,,
110,0.970000066,0.97,6.58E-08,6.78E-06,6.78E-06,,
111,0.970000058,0.97,5.80E-08,5.98E-06,5.98E-06,,
112,0.970000057,0.97,5.71E-08,5.89E-06,5.89E-06,,
113,0,0,0,#¡DIV/0!,0,,
114,0,0,0,#¡DIV/0!,0,,
115,0,0,0,#¡DIV/0!,0,,
116,0,0,0,#¡DIV/0!,0,,
117,0,0,0,#¡DIV/0!,0,,
118,0,0,0,#¡DIV/0!,0,,
119,0,0,0,#¡DIV/0!,0,,
120,0,0,0,#¡DIV/0!,0,,
121,0,0,0,#¡DIV/0!,0,,
122,0,0,0,#¡DIV/0!,0,,
123,0,0,0,#¡DIV/0!,0,,
124,0,0,0,#¡DIV/0!,0,,
125,0,0,0,#¡DIV/0!,0,,
126,0,0,0,#¡DIV/0!,0,,
127,0.97,0.97,9.99E-16,1.03E-13,1.03E-13,,
128,0.970000018,0.97,1.77E-08,1.83E-06,1.83E-06,,
129,0.970000029,0.97,2.92E-08,3.01E-06,3.01E-06,,
130,0.950157863,0.95,0.000157863,0.016614438,0.016614438,,
131,0.806708159,0.79,0.016708159,2.071152792,2.071152792,,
132,0.642828458,0.62,0.022828458,3.551251891,3.551251891,,
133,0.819220636,0.82,0.000779364,0.095134867,0.095134867,,
134,0.957065762,0.96,0.002934238,0.306586909,0.306586909,,
135,0.940453004,0.94,0.000453004,0.048168692,0.048168692,,
136,0.618974473,0.56,0.058974473,9.527771385,9.527771385,,
137,0,0,0,#¡DIV/0!,0,,
138,0,0,0,#¡DIV/0!,0,,
139,0,0,0,#¡DIV/0!,0,,
140,0,0,0,#¡DIV/0!,0,,
141,0,0,0,#¡DIV/0!,0,,
142,0,0,0,#¡DIV/0!,0,,
143,0,0,0,#¡DIV/0!,0,,
144,0,0,0,#¡DIV/0!,0,,
145,0,0,0,#¡DIV/0!,0,,
146,0,0,0,#¡DIV/0!,0,,
147,0,0,0,#¡DIV/0!,0,,
148,0,0,0,#¡DIV/0!,0,,
149,0,0,0,#¡DIV/0!,0,,
150,0,0,0,#¡DIV/0!,0,,
151,0.970000032,0.97,3.18E-08,3.28E-06,3.28E-06,,
